"","database","partition_level","region","k_iteration","classifier","Metric","value"
"1","unite","fam","Full",0,"CBC","sensitivity",0.707967165620473
"2","unite","fam","Full",0,"CBC","MC",0.292032834379527
"3","unite","fam","Full",0,"CBC","OC",0.0177048124899404
"4","unite","fam","Full",0,"CBC","EPQ",0.213653399553931
"5","unite","fam","ITS1",0,"CBC","sensitivity",0.582736485122532
"6","unite","fam","ITS1",0,"CBC","MC",0.417263514877468
"7","unite","fam","ITS1",0,"CBC","OC",0.0187734668335419
"8","unite","fam","ITS1",0,"CBC","EPQ",0.303409215436346
"9","unite","fam","ITS2",0,"CBC","sensitivity",0.59901980639151
"10","unite","fam","ITS2",0,"CBC","MC",0.40098019360849
"11","unite","fam","ITS2",0,"CBC","OC",0.015533233423792
"12","unite","fam","ITS2",0,"CBC","EPQ",0.290852490698576
"13","unite","fam","Full",1,"CBC","sensitivity",0.697093755131082
"14","unite","fam","Full",1,"CBC","MC",0.302906244868918
"15","unite","fam","Full",1,"CBC","OC",0.0194296973345739
"16","unite","fam","Full",1,"CBC","EPQ",0.221912945573391
"17","unite","fam","ITS1",1,"CBC","sensitivity",0.561175824175824
"18","unite","fam","ITS1",1,"CBC","MC",0.438824175824176
"19","unite","fam","ITS1",1,"CBC","OC",0.0254120879120879
"20","unite","fam","ITS1",1,"CBC","EPQ",0.320706436420722
"21","unite","fam","ITS2",1,"CBC","sensitivity",0.597479222852111
"22","unite","fam","ITS2",1,"CBC","MC",0.402520777147889
"23","unite","fam","ITS2",1,"CBC","OC",0.0257856789036271
"24","unite","fam","ITS2",1,"CBC","EPQ",0.294882177649529
"25","unite","fam","Full",2,"CBC","sensitivity",0.70524653764605
"26","unite","fam","Full",2,"CBC","MC",0.29475346235395
"27","unite","fam","Full",2,"CBC","OC",0.0186989669328281
"28","unite","fam","Full",2,"CBC","EPQ",0.215880749376486
"29","unite","fam","ITS1",2,"CBC","sensitivity",0.576691116544417
"30","unite","fam","ITS1",2,"CBC","MC",0.423308883455583
"31","unite","fam","ITS1",2,"CBC","OC",0.0192655981164539
"32","unite","fam","ITS1",2,"CBC","EPQ",0.30786794478726
"33","unite","fam","ITS2",2,"CBC","sensitivity",0.600444585582725
"34","unite","fam","ITS2",2,"CBC","MC",0.399555414417275
"35","unite","fam","ITS2",2,"CBC","OC",0.0225468402667513
"36","unite","fam","ITS2",2,"CBC","EPQ",0.291838678945697
"37","unite","fam","Full",3,"CBC","sensitivity",0.702424859908304
