database,partition_level,region,k_iteration,classifier,sensitivity,MC,OC,EPQ,N_known,N_novel,N
silva,gen,Full,0,kraken2,0.012166666666666666,0.9878333333333333,0.0,0.8467142857142858,6000,1000,7000
silva,gen,V3-4,0,kraken2,0.6617894382778339,0.3382105617221662,0.0,0.2898947671904281,5946,991,6937
silva,gen,V4,0,kraken2,0.6366092536305302,0.3633907463694698,0.0,0.31147778260240266,5922,987,6909
silva,fam,Full,0,kraken2,0.0136,0.9864,0.001,0.7048571428571428,5000,2000,7000
silva,fam,V3-4,0,kraken2,0.8424242424242424,0.15757575757575756,0.28535353535353536,0.19408369408369408,4950,1980,6930
silva,fam,V4,0,kraken2,0.8048533872598584,0.19514661274014156,0.2416582406471183,0.20843564928499206,4945,1978,6923
silva,gen,Full,1,kraken2,0.014833333333333334,0.9851666666666666,0.0,0.8444285714285714,6000,1000,7000
silva,gen,V3-4,1,kraken2,0.7439393939393939,0.25606060606060604,0.0,0.21948051948051947,5940,990,6930
silva,gen,V4,1,kraken2,0.709223465581553,0.2907765344184469,0.0,0.24923702950152593,5898,983,6881
silva,fam,Full,1,kraken2,0.0178,0.9822,0.0,0.7015714285714286,5000,2000,7000
silva,fam,V3-4,1,kraken2,0.8268415741675076,0.17315842583249244,0.31987891019172554,0.21507856422084476,4955,1982,6937
silva,fam,V4,1,kraken2,0.7907164480322906,0.2092835519677094,0.2941473259334006,0.23353034452933544,4955,1982,6937
silva,gen,Full,2,kraken2,0.013166666666666667,0.9868333333333333,0.0,0.8458571428571429,6000,1000,7000
silva,gen,V3-4,2,kraken2,0.7473118279569892,0.25268817204301075,0.0,0.21658986175115208,5952,992,6944
silva,gen,V4,2,kraken2,0.7082071981163808,0.2917928018836192,0.0,0.25010811590024506,5946,991,6937
silva,fam,Full,2,kraken2,0.0188,0.9812,0.0015,0.7012857142857143,5000,2000,7000
silva,fam,V3-4,2,kraken2,0.8237185929648241,0.1762814070351759,0.3,0.21162957645369707,4975,1990,6965
silva,fam,V4,2,kraken2,0.7837349397590362,0.21626506024096387,0.2715863453815261,0.23207114170969592,4980,1992,6972
silva,gen,Full,3,kraken2,0.0165,0.9835,0.0,0.843,6000,1000,7000
silva,gen,V3-4,3,kraken2,0.7575910931174089,0.2424089068825911,0.0,0.20777906304222094,5928,988,6916
silva,gen,V4,3,kraken2,0.6987891019172553,0.3012108980827447,0.0,0.25818076978520976,5946,991,6937
silva,fam,Full,3,kraken2,0.0152,0.9848,0.0,0.7034285714285714,5000,2000,7000
silva,fam,V3-4,3,kraken2,0.8115618661257606,0.18843813387423936,0.2870182555780933,0.21660388293248334,4930,1972,6902
silva,fam,V4,3,kraken2,0.760081053698075,0.23991894630192503,0.24265450861195542,0.2407005355333623,4935,1974,6909
silva,gen,Full,4,kraken2,0.010666666666666666,0.9893333333333333,0.0,0.848,6000,1000,7000
silva,gen,V3-4,4,kraken2,0.7296521445457615,0.27034785545423845,0.0,0.2317267332464901,5922,987,6909
silva,gen,V4,4,kraken2,0.6977058029689609,0.30229419703103916,0.0,0.2591093117408907,5928,988,6916
silva,fam,Full,4,kraken2,0.0172,0.9828,0.0015,0.7024285714285714,5000,2000,7000
silva,fam,V3-4,4,kraken2,0.8377396569122099,0.1622603430877901,0.2558022199798184,0.18898659362836961,4955,1982,6937
silva,fam,V4,4,kraken2,0.8214141414141414,0.1785858585858586,0.22121212121212122,0.19076479076479078,4950,1980,6930
