database,partition_level,region,k_iteration,classifier,sensitivity,MC,OC,EPQ
silva,gen,Full,0,mothur-wang,0.5458333333333333,0.45416666666666666,0.184,0.4155714285714286
silva,gen,V4,0,mothur-wang,0.5123269165822357,0.4876730834177643,0.06484295845997974,0.4272687798523665
silva,gen,V3-4,0,mothur-wang,0.5432223343424151,0.45677766565758493,0.07467204843592332,0.40219114891163327
silva,gen,Full,0,mothur-knn,0.5626666666666666,0.43733333333333335,0.098,0.38885714285714285
silva,gen,V4,0,mothur-knn,0.5648429584599798,0.4351570415400203,0.08713272543059777,0.38543928209581707
silva,gen,V3-4,0,mothur-knn,0.5745038681466532,0.4254961318533468,0.06659939455095863,0.37422516938157707
silva,fam,Full,0,mothur-wang,0.5924,0.4076,0.1725,0.3404285714285714
silva,fam,V4,0,mothur-wang,0.6133468149646107,0.38665318503538926,0.06370070778564206,0.29438104867831866
silva,fam,V3-4,0,mothur-wang,0.6264646464646465,0.37353535353535355,0.1191919191919192,0.3008658008658009
silva,fam,Full,0,mothur-knn,0.7088,0.2912,0.132,0.24571428571428572
silva,fam,V4,0,mothur-knn,0.627098078867543,0.372901921132457,0.11172901921132457,0.2982810920121335
silva,fam,V3-4,0,mothur-knn,0.5937373737373738,0.40626262626262627,0.12272727272727273,0.32525252525252524
silva,gen,Full,1,mothur-wang,0.7898333333333334,0.21016666666666667,0.055,0.188
silva,gen,V4,1,mothur-wang,0.7192268565615463,0.2807731434384537,0.03662258392675483,0.2458944920796396
silva,gen,V3-4,1,mothur-wang,0.7478114478114478,0.2521885521885522,0.06060606060606061,0.2248196248196248
silva,gen,Full,1,mothur-knn,0.3418333333333333,0.6581666666666667,0.014,0.5661428571428572
silva,gen,V4,1,mothur-knn,0.6865038996269922,0.3134961003730078,0.08850457782299084,0.28135445429443395
silva,gen,V3-4,1,mothur-knn,0.7314814814814815,0.26851851851851855,0.1292929292929293,0.24862914862914862
silva,fam,Full,1,mothur-wang,0.7198,0.2802,0.174,0.24985714285714286
