database,partition_level,k_iteration,conf,max_hits,classifier,sensitivity,MC,OC,EPQ
silva,fam,0,0.2,20,RDP,0.7186,0.2814,0.745,0.41385714285714287
silva,fam,0,0.2,20,BLAST,0.7388,0.2612,0.8795,0.43785714285714283
silva,fam,0,0.2,20,SINTAX,0.7256,0.2744,0.3805,0.3047142857142857
silva,fam,0,0.2,20,Consensus,0.7314,0.2686,0.28,0.27185714285714285
silva,fam,0,0.4,20,RDP,0.7184,0.2816,0.5385,0.355
silva,fam,0,0.4,20,BLAST,0.7412,0.2588,0.614,0.36028571428571426
silva,fam,0,0.4,20,SINTAX,0.7198,0.2802,0.2175,0.2622857142857143
silva,fam,0,0.4,20,Consensus,0.7312,0.2688,0.2135,0.253
silva,fam,0,0.6,20,RDP,0.7142,0.2858,0.344,0.30242857142857144
silva,fam,0,0.6,20,BLAST,0.7392,0.2608,0.3475,0.2855714285714286
silva,fam,0,0.6,20,SINTAX,0.7028,0.2972,0.068,0.2317142857142857
silva,fam,0,0.6,20,Consensus,0.7316,0.2684,0.1025,0.221
silva,fam,0,0.8,1,RDP,0.7056,0.2944,0.2235,0.27414285714285713
silva,fam,0,0.8,1,BLAST,0.7348,0.2652,0.877,0.44
silva,fam,0,0.8,1,SINTAX,0.673,0.327,0.0175,0.23857142857142857
silva,fam,0,0.8,1,Consensus,0.7142,0.2858,0.077,0.22614285714285715
silva,fam,0,0.8,3,RDP,0.7056,0.2944,0.2235,0.27414285714285713
silva,fam,0,0.8,3,BLAST,0.7302,0.2698,0.2155,0.2542857142857143
silva,fam,0,0.8,3,SINTAX,0.673,0.327,0.0175,0.23857142857142857
silva,fam,0,0.8,3,Consensus,0.713,0.287,0.039,0.21614285714285714
silva,fam,0,0.8,5,RDP,0.7056,0.2944,0.2235,0.27414285714285713
silva,fam,0,0.8,5,BLAST,0.7376,0.2624,0.289,0.27
silva,fam,0,0.8,5,SINTAX,0.673,0.327,0.0175,0.23857142857142857
silva,fam,0,0.8,5,Consensus,0.7136,0.2864,0.04,0.216
silva,fam,0,0.8,10,RDP,0.7056,0.2944,0.2235,0.27414285714285713
silva,fam,0,0.8,10,BLAST,0.738,0.262,0.2445,0.257
silva,fam,0,0.8,10,SINTAX,0.673,0.327,0.0175,0.23857142857142857
silva,fam,0,0.8,10,Consensus,0.713,0.287,0.037,0.21557142857142858
silva,fam,0,0.8,20,RDP,0.7056,0.2944,0.2235,0.27414285714285713
silva,fam,0,0.8,20,BLAST,0.7358,0.2642,0.227,0.25357142857142856
silva,fam,0,0.8,20,SINTAX,0.673,0.327,0.0175,0.23857142857142857
silva,fam,0,0.8,20,Consensus,0.7116,0.2884,0.04,0.21742857142857142
silva,fam,0,1.0,20,RDP,0.6492,0.3508,0.101,0.2794285714285714
silva,fam,0,1.0,20,BLAST,0.7132,0.2868,0.091,0.23085714285714284
silva,fam,0,1.0,20,SINTAX,0.4904,0.5096,0.0015,0.36442857142857144
silva,fam,0,1.0,20,Consensus,0.6512,0.3488,0.0155,0.25357142857142856
silva,fam,1,0.2,20,RDP,0.7104,0.2896,0.7515,0.4215714285714286
silva,fam,1,0.2,20,BLAST,0.737,0.263,0.807,0.4184285714285714
silva,fam,1,0.2,20,SINTAX,0.7384,0.2616,0.3465,0.28585714285714287
silva,fam,1,0.2,20,Consensus,0.7386,0.2614,0.2055,0.24542857142857144
silva,fam,1,0.4,20,RDP,0.7094,0.2906,0.5395,0.3617142857142857
silva,fam,1,0.4,20,BLAST,0.738,0.262,0.5925,0.35642857142857143
silva,fam,1,0.4,20,SINTAX,0.7344,0.2656,0.1965,0.24585714285714286
silva,fam,1,0.4,20,Consensus,0.7368,0.2632,0.165,0.23514285714285715
silva,fam,1,0.6,20,RDP,0.71,0.29,0.3735,0.31385714285714283
silva,fam,1,0.6,20,BLAST,0.7402,0.2598,0.4125,0.30342857142857144
silva,fam,1,0.6,20,SINTAX,0.7214,0.2786,0.091,0.225
silva,fam,1,0.6,20,Consensus,0.7328,0.2672,0.099,0.21914285714285714
silva,fam,1,0.8,1,RDP,0.7048,0.2952,0.2235,0.2747142857142857
silva,fam,1,0.8,1,BLAST,0.7288,0.2712,0.844,0.43485714285714283
silva,fam,1,0.8,1,SINTAX,0.688,0.312,0.037,0.23342857142857143
silva,fam,1,0.8,1,Consensus,0.7168,0.2832,0.0695,0.22214285714285714
silva,fam,1,0.8,3,RDP,0.7048,0.2952,0.224,0.27485714285714286
silva,fam,1,0.8,3,BLAST,0.7268,0.2732,0.2825,0.27585714285714286
silva,fam,1,0.8,3,SINTAX,0.688,0.312,0.037,0.23342857142857143
silva,fam,1,0.8,3,Consensus,0.7144,0.2856,0.0525,0.219
silva,fam,1,0.8,5,RDP,0.7048,0.2952,0.2235,0.2747142857142857
silva,fam,1,0.8,5,BLAST,0.7332,0.2668,0.343,0.2885714285714286
silva,fam,1,0.8,5,SINTAX,0.688,0.312,0.037,0.23342857142857143
silva,fam,1,0.8,5,Consensus,0.7172,0.2828,0.0525,0.217
silva,fam,1,0.8,10,RDP,0.7048,0.2952,0.2235,0.2747142857142857
silva,fam,1,0.8,10,BLAST,0.7356,0.2644,0.292,0.2722857142857143
silva,fam,1,0.8,10,SINTAX,0.688,0.312,0.037,0.23342857142857143
silva,fam,1,0.8,10,Consensus,0.7178,0.2822,0.046,0.21471428571428572
silva,fam,1,0.8,20,RDP,0.7048,0.2952,0.2235,0.2747142857142857
silva,fam,1,0.8,20,BLAST,0.7386,0.2614,0.197,0.243
silva,fam,1,0.8,20,SINTAX,0.688,0.312,0.037,0.23342857142857143
silva,fam,1,0.8,20,Consensus,0.7184,0.2816,0.0385,0.21214285714285713
silva,fam,1,1.0,20,RDP,0.6364,0.3636,0.039,0.27085714285714285
silva,fam,1,1.0,20,BLAST,0.7086,0.2914,0.0405,0.21971428571428572
silva,fam,1,1.0,20,SINTAX,0.4428,0.5572,0.0,0.398
silva,fam,1,1.0,20,Consensus,0.6454,0.3546,0.005,0.2547142857142857
silva,fam,2,0.2,20,RDP,0.7468,0.2532,0.429,0.319125
silva,fam,2,0.2,20,BLAST,0.7702,0.2298,0.566,0.355875
silva,fam,2,0.2,20,SINTAX,0.7668,0.2332,0.23333333333333334,0.23325
silva,fam,2,0.2,20,Consensus,0.768,0.232,0.14333333333333334,0.19875
silva,fam,2,0.4,20,RDP,0.7464,0.2536,0.307,0.273625
silva,fam,2,0.4,20,BLAST,0.7726,0.2274,0.35533333333333333,0.275375
silva,fam,2,0.4,20,SINTAX,0.7622,0.2378,0.094,0.183875
silva,fam,2,0.4,20,Consensus,0.7672,0.2328,0.09033333333333333,0.179375
silva,fam,2,0.6,20,RDP,0.7456,0.2544,0.189,0.229875
