database,partition_level,region,k_iteration,classifier,sensitivity,MC,OC,EPQ
silva,gen,Full,0,qiime2-Naive-Bayes,0.226,0.774,0.758,0.7717142857142857
silva,gen,V3-4,0,qiime2-Naive-Bayes,0.7628657921291625,0.23713420787083753,0.20484359233097882,0.23252126279371485
silva,gen,V4,0,qiime2-Naive-Bayes,0.7424856467409658,0.2575143532590341,0.14994934143870314,0.24214792299898683
silva,fam,Full,0,qiime2-Naive-Bayes,0.2012,0.7988,0.9815,0.851
silva,fam,V3-4,0,qiime2-Naive-Bayes,0.6282828282828283,0.3717171717171717,0.17929292929292928,0.31673881673881676
silva,fam,V4,0,qiime2-Naive-Bayes,0.6998988877654196,0.30010111223458036,0.217896865520728,0.2766141846020511
silva,gen,Full,1,qiime2-Naive-Bayes,0.7833333333333333,0.21666666666666667,0.347,0.2352857142857143
silva,gen,V3-4,1,qiime2-Naive-Bayes,0.7663299663299663,0.23367003367003367,0.2292929292929293,0.23304473304473305
silva,gen,V4,1,qiime2-Naive-Bayes,0.749067480501865,0.25093251949813494,0.19837232960325535,0.24342392094172358
silva,fam,Full,1,qiime2-Naive-Bayes,0.7298,0.2702,0.4275,0.31514285714285717
silva,fam,V3-4,1,qiime2-Naive-Bayes,0.6752774974772957,0.32472250252270435,0.31231079717457116,0.32117630099466626
silva,fam,V4,1,qiime2-Naive-Bayes,0.6530776992936428,0.3469223007063572,0.27547931382441976,0.3265100187400894
silva,gen,Full,2,qiime2-Naive-Bayes,0.7318333333333333,0.26816666666666666,0.411,0.2885714285714286
silva,gen,V3-4,2,qiime2-Naive-Bayes,0.7242943548387096,0.2757056451612903,0.3125,0.2809619815668203
silva,gen,V4,2,qiime2-Naive-Bayes,0.7031617894382778,0.29683821056172216,0.14127144298688193,0.2746143866224593
silva,fam,Full,2,qiime2-Naive-Bayes,0.2948,0.7052,0.799,0.732
silva,fam,V3-4,2,qiime2-Naive-Bayes,0.700502512562814,0.2994974874371859,0.3150753768844221,0.30394831299353914
silva,fam,V4,2,qiime2-Naive-Bayes,0.6843373493975904,0.3156626506024096,0.1992971887550201,0.28241537578886977
silva,gen,Full,3,qiime2-Naive-Bayes,0.7393333333333333,0.26066666666666666,0.359,0.2747142857142857
silva,gen,V3-4,3,qiime2-Naive-Bayes,0.7252024291497976,0.27479757085020245,0.13562753036437247,0.2549161364950839
silva,gen,V4,3,qiime2-Naive-Bayes,0.7107299024554322,0.2892700975445678,0.08577194752774975,0.26019893325645094
silva,fam,Full,3,qiime2-Naive-Bayes,0.2282,0.7718,0.633,0.7321428571428571
silva,fam,V3-4,3,qiime2-Naive-Bayes,0.6235294117647059,0.3764705882352941,0.24949290060851928,0.34019124891335845
silva,fam,V4,3,qiime2-Naive-Bayes,0.6711246200607903,0.32887537993920973,0.20516717325227962,0.2935301780286583
silva,gen,Full,4,qiime2-Naive-Bayes,0.7418333333333333,0.25816666666666666,0.399,0.2782857142857143
silva,gen,V3-4,4,qiime2-Naive-Bayes,0.7225599459642013,0.27744005403579874,0.30192502532928067,0.2809379070777247
silva,gen,V4,4,qiime2-Naive-Bayes,0.7024291497975709,0.2975708502024291,0.19230769230769232,0.2825332562174667
silva,fam,Full,4,qiime2-Naive-Bayes,0.216,0.784,0.44,0.6857142857142857
silva,fam,V3-4,4,qiime2-Naive-Bayes,0.7112008072653885,0.2887991927346115,0.27547931382441976,0.2849935130459853
silva,fam,V4,4,qiime2-Naive-Bayes,0.6547474747474747,0.34525252525252526,0.19090909090909092,0.3011544011544012
