database,partition_level,region,k_iteration,classifier,sensitivity,MC,OC,EPQ
silva,fam,Full,0,RDP,0.7056,0.2944,0.2235,0.27414285714285713
silva,fam,Full,0,BLAST,0.739,0.261,0.28,0.2664285714285714
silva,fam,Full,0,SINTAX,0.673,0.327,0.0175,0.23857142857142857
silva,fam,Full,0,Consensus,0.7142,0.2858,0.041,0.21585714285714286
silva,fam,V4,0,RDP,0.6080889787664308,0.39191102123356925,0.0743174924165824,0.30117001300014445
silva,fam,V4,0,BLAST,0.7174924165824065,0.2825075834175935,0.09706774519716886,0.2295247724974722
silva,fam,V4,0,SINTAX,0.6056622851365016,0.3943377148634985,0.06774519716885744,0.3010255669507439
silva,fam,V4,0,Consensus,0.6835187057633973,0.31648129423660265,0.03488372093023256,0.2360248447204969
silva,fam,V3-4,0,RDP,0.6242424242424243,0.37575757575757573,0.1383838383838384,0.30793650793650795
silva,fam,V3-4,0,BLAST,0.7147474747474748,0.28525252525252526,0.1595959595959596,0.24935064935064935
silva,fam,V3-4,0,SINTAX,0.5767676767676768,0.42323232323232324,0.05404040404040404,0.3177489177489177
silva,fam,V3-4,0,Consensus,0.6452525252525253,0.35474747474747476,0.03585858585858586,0.2636363636363636
silva,fam,Full,1,RDP,0.7048,0.2952,0.224,0.27485714285714286
silva,fam,Full,1,BLAST,0.731,0.269,0.34,0.2892857142857143
silva,fam,Full,1,SINTAX,0.688,0.312,0.037,0.23342857142857143
silva,fam,Full,1,Consensus,0.717,0.283,0.0525,0.21714285714285714
silva,fam,V4,1,RDP,0.6409687184661957,0.35903128153380426,0.19374369323915236,0.31180625630676084
silva,fam,V4,1,BLAST,0.699899091826438,0.30010090817356205,0.12462159434914229,0.24996396136658497
silva,fam,V4,1,SINTAX,0.618970736629667,0.381029263370333,0.15993945509586277,0.31786074672048437
silva,fam,V4,1,Consensus,0.6700302724520686,0.32996972754793136,0.060544904137235116,0.25299120657344676
silva,fam,V3-4,1,RDP,0.637941473259334,0.362058526740666,0.22906155398587286,0.32405939166786796
silva,fam,V3-4,1,BLAST,0.7467204843592331,0.2532795156407669,0.15489404641775983,0.2251693815770506
silva,fam,V3-4,1,SINTAX,0.6143289606458123,0.3856710393541877,0.1367305751765893,0.3145451924463024
silva,fam,V3-4,1,Consensus,0.6619576185671039,0.33804238143289606,0.07870837537840565,0.2639469511316131
silva,fam,Full,2,RDP,0.7386,0.2614,0.114,0.206125
silva,fam,Full,2,BLAST,0.7614,0.2386,0.174,0.214375
silva,fam,Full,2,SINTAX,0.705,0.295,0.006666666666666667,0.186875
silva,fam,Full,2,Consensus,0.7448,0.2552,0.01633333333333333,0.165625
silva,fam,V4,2,RDP,0.6218875502008032,0.3781124497991968,0.07630522088353414,0.2649347389558233
silva,fam,V4,2,BLAST,0.6485943775100401,0.3514056224899598,0.12951807228915663,0.26819779116465864
