OTU_ID	Kingdom_RDP	Kingdom_BLAST	Kingdom_SINTAX	Kingdom_Consensus	Phylum_RDP	Phylum_BLAST	Phylum_SINTAX	Phylum_Consensus	Class_RDP	Class_BLAST	Class_SINTAX	Class_Consensus	Order_RDP	Order_BLAST	Order_SINTAX	Order_Consensus	Family_RDP	Family_BLAST	Family_SINTAX	Family_Consensus	Genus_RDP	Genus_BLAST	Genus_SINTAX	Genus_Consensus	Species_RDP	Species_BLAST	Species_SINTAX	Species_Consensus
OTU_1	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Pezizomycetes	Pezizomycetes	Pezizomycetes	Pezizomycetes	Pezizales	Pezizales	Pezizales	Pezizales	Tuberaceae	Tuberaceae	Tuberaceae	Tuberaceae								
OTU_2	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Geminibasidiomycetes	Geminibasidiomycetes	Geminibasidiomycetes	Geminibasidiomycetes	Geminibasidiales	Geminibasidiales	Geminibasidiales	Geminibasidiales	Geminibasidiaceae	Geminibasidiaceae	Geminibasidiaceae	Geminibasidiaceae	Geminibasidium	Geminibasidium	Geminibasidium	Geminibasidium				
OTU_3	Fungi	Fungi	Fungi	Fungi	Mucoromycota	Mucoromycota	Mucoromycota	Mucoromycota	Umbelopsidomycetes	Umbelopsidomycetes	Umbelopsidomycetes	Umbelopsidomycetes	Umbelopsidales	Umbelopsidales	Umbelopsidales	Umbelopsidales	Umbelopsidaceae	Umbelopsidaceae	Umbelopsidaceae	Umbelopsidaceae	Umbelopsis	Umbelopsis	Umbelopsis	Umbelopsis				
OTU_4	Fungi	Fungi	Fungi	Fungi	Rozellomycota	Rozellomycota	Rozellomycota	Rozellomycota	Incertae_sedis	Incertae_sedis		Incertae_sedis	Gs07			Gs07												
OTU_5	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricales	Agaricales	Agaricales	Agaricales	Inocybaceae	Inocybaceae	Inocybaceae	Inocybaceae	Inocybe		Inocybe	Inocybe				
OTU_6	Fungi	Fungi	Fungi	Fungi																								
OTU_7	Fungi	Fungi	Fungi	Fungi	Mortierellomycota	Mortierellomycota	Mortierellomycota	Mortierellomycota	Mortierellomycetes	Mortierellomycetes	Mortierellomycetes	Mortierellomycetes	Mortierellales	Mortierellales	Mortierellales	Mortierellales	Mortierellaceae	Mortierellaceae	Mortierellaceae	Mortierellaceae	Mortierella	Mortierella	Mortierella	Mortierella				
OTU_8	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Polyporales	Polyporales	Polyporales	Polyporales	Grifolaceae		Grifolaceae	Grifolaceae	Grifola		Grifola	Grifola	Grifola frondosa			Grifola frondosa
OTU_9	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricales	Agaricales	Agaricales	Agaricales												
OTU_10	Fungi	Fungi	Fungi	Fungi		Ascomycota	Ascomycota	Ascomycota		Sordariomycetes	Sordariomycetes	Sordariomycetes		Hypocreales	Hypocreales	Hypocreales		Nectriaceae	Nectriaceae	Nectriaceae		Fusarium	Fusarium	Fusarium				
