database,partition_level,region,k_iteration,classifier,sensitivity,MC,OC,EPQ,N_known,N_novel,N
unite,gen,Full,0,kraken2,0.7727346623585116,0.22726533764148835,0.38724623544473574,0.25011975161338085,98418,16403,114821
unite,gen,ITS1,0,kraken2,0.5504995015157989,0.4495004984842011,0.23536592809619727,0.41890984557162914,98298,16383,114681
unite,gen,ITS2,0,kraken2,0.6139351625020415,0.3860648374979585,0.26365752082312593,0.3685780779729824,97968,16328,114296
unite,fam,Full,0,kraken2,0.9448816996619991,0.05511830033800096,0.8002977627555127,0.26802671817157575,124260,49704,173964
unite,fam,ITS1,0,kraken2,0.8385036643311589,0.1614963356688411,0.6769348473866473,0.3087644818739286,124170,49668,173838
unite,fam,ITS2,0,kraken2,0.8681753775150803,0.13182462248491963,0.6989393141978057,0.29385739154574425,123505,49402,172907
unite,gen,Full,1,kraken2,0.8728655754799546,0.12713442452004545,0.6332048488911234,0.19943019943019943,107406,17901,125307
unite,gen,ITS1,1,kraken2,0.7593151782885049,0.24068482171149508,0.5349773527931555,0.282726611866018,107298,17883,125181
unite,gen,ITS2,1,kraken2,0.7916924056082814,0.20830759439171861,0.5463020160610995,0.25659251177305875,106842,17807,124649
unite,fam,Full,1,kraken2,0.9263422910623392,0.07365770893766077,0.8097531607465382,0.2839706951687686,91355,36542,127897
unite,fam,ITS1,1,kraken2,0.7795891536565325,0.22041084634346755,0.6637907422623939,0.3470908166060179,91275,36510,127785
unite,fam,ITS2,1,kraken2,0.8196753782668501,0.18032462173314992,0.6905364511691885,0.32609943014344667,90875,36350,127225
unite,gen,Full,2,kraken2,0.8708643633256012,0.12913563667439873,0.6183616164082529,0.1990250623506636,98292,16382,114674
unite,gen,ITS1,2,kraken2,0.7582905565061517,0.2417094434938483,0.5301882180395991,0.28292069700038414,98184,16364,114548
unite,gen,ITS2,2,kraken2,0.7817991888902543,0.2182008111097456,0.5350866412682806,0.2634702154181078,97644,16274,113918
unite,fam,Full,2,kraken2,0.9409211891550503,0.0590788108449497,0.7736049081968692,0.2632291243740696,110835,44334,155169
unite,fam,ITS1,2,kraken2,0.8130046057978868,0.18699539420211325,0.6308814232818568,0.3138199739391828,110730,44292,155022
unite,fam,ITS2,2,kraken2,0.853516528363488,0.14648347163651204,0.6548088695415589,0.2917192996093826,110265,44106,154371
unite,gen,Full,3,kraken2,0.8597571189279732,0.1402428810720268,0.5604899497487437,0.20027817659727207,95520,15920,111440
unite,gen,ITS1,3,kraken2,0.7348427672955975,0.2651572327044025,0.46968553459119494,0.29437556154537287,95400,15900,111300
unite,gen,ITS2,3,kraken2,0.7699597326755634,0.23004026732443658,0.4711909430143571,0.2644903638515681,94866,15811,110677
unite,fam,Full,3,kraken2,0.9387977585328579,0.06120224146714213,0.7808965868568517,0.26682919729277343,98150,39260,137410
unite,fam,ITS1,3,kraken2,0.8057632478196562,0.19423675218034375,0.6550211659101342,0.32588944181742674,98035,39214,137249
unite,fam,ITS2,3,kraken2,0.8382774140752864,0.16172258592471359,0.6705963584288053,0.30711509235445406,97760,39104,136864
unite,gen,Full,4,kraken2,0.8851967752201124,0.11480322477988755,0.6434708815105548,0.19032717574141145,113124,18854,131978
unite,gen,ITS1,4,kraken2,0.7738019395483825,0.22619806045161747,0.5455510724145254,0.27181991930346144,113016,18836,131852
unite,gen,ITS2,4,kraken2,0.8082049368235859,0.19179506317641415,0.5568587727248494,0.24394702168333346,112542,18757,131299
unite,fam,Full,4,kraken2,0.9450755419312459,0.05492445806875411,0.8176702430479527,0.272851825205668,114175,45670,159845
unite,fam,ITS1,4,kraken2,0.8335656977508878,0.16643430224911218,0.693322811171029,0.3169738762268027,114045,45618,159663
unite,fam,ITS2,4,kraken2,0.8605625110209839,0.13943748897901603,0.7080100511373656,0.3018867924528302,113420,45368,158788
