database,partition_level,k_iteration,conf,max_hits,classifier,sensitivity,MC,OC,EPQ
unite,fam,0,0.2,5,RDP,0.7502,0.2498,0.265,0.25414285714285717
unite,fam,0,0.2,5,BLAST,0.7544,0.2456,0.634,0.3565714285714286
unite,fam,0,0.2,5,SINTAX,0.7578,0.2422,0.1265,0.20914285714285713
unite,fam,0,0.2,5,Consensus,0.7576,0.2424,0.572,0.3365714285714286
unite,fam,0,0.2,20,RDP,0.7502,0.2498,0.265,0.25414285714285717
unite,fam,0,0.2,20,BLAST,0.7268,0.2732,0.5365,0.3484285714285714
unite,fam,0,0.2,20,SINTAX,0.7578,0.2422,0.1265,0.20914285714285713
unite,fam,0,0.2,20,Consensus,0.7524,0.2476,0.6035,0.3492857142857143
unite,fam,0,0.4,5,RDP,0.746,0.254,0.162,0.2277142857142857
unite,fam,0,0.4,5,BLAST,0.7548,0.2452,0.4215,0.2955714285714286
unite,fam,0,0.4,5,SINTAX,0.7464,0.2536,0.0505,0.19557142857142856
unite,fam,0,0.4,5,Consensus,0.7546,0.2454,0.455,0.30528571428571427
unite,fam,0,0.4,20,RDP,0.746,0.254,0.162,0.2277142857142857
unite,fam,0,0.4,20,BLAST,0.7302,0.2698,0.2225,0.2562857142857143
unite,fam,0,0.4,20,SINTAX,0.7464,0.2536,0.0505,0.19557142857142856
unite,fam,0,0.4,20,Consensus,0.7524,0.2476,0.3255,0.26985714285714285
unite,fam,0,0.6,5,RDP,0.7358,0.2642,0.099,0.217
unite,fam,0,0.6,5,BLAST,0.7536,0.2464,0.145,0.21742857142857142
unite,fam,0,0.6,5,SINTAX,0.719,0.281,0.027,0.20842857142857144
unite,fam,0,0.6,5,Consensus,0.7554,0.2446,0.2055,0.23342857142857143
unite,fam,0,0.6,20,RDP,0.7358,0.2642,0.099,0.217
unite,fam,0,0.6,20,BLAST,0.7106,0.2894,0.082,0.23014285714285715
unite,fam,0,0.6,20,SINTAX,0.719,0.281,0.027,0.20842857142857144
unite,fam,0,0.6,20,Consensus,0.7514,0.2486,0.158,0.22271428571428573
unite,fam,0,0.8,1,RDP,0.7042,0.2958,0.0545,0.22685714285714287
unite,fam,0,0.8,1,BLAST,0.7712,0.2288,0.3505,0.26357142857142857
unite,fam,0,0.8,1,SINTAX,0.6728,0.3272,0.0135,0.23757142857142857
unite,fam,0,0.8,1,Consensus,0.7708,0.2292,0.3495,0.26357142857142857
unite,fam,0,0.8,3,RDP,0.7042,0.2958,0.0545,0.22685714285714287
unite,fam,0,0.8,3,BLAST,0.7352,0.2648,0.035,0.19914285714285715
unite,fam,0,0.8,3,SINTAX,0.6728,0.3272,0.0135,0.23757142857142857
unite,fam,0,0.8,3,Consensus,0.7536,0.2464,0.081,0.19914285714285715
unite,fam,0,0.8,5,RDP,0.7044,0.2956,0.0545,0.2267142857142857
unite,fam,0,0.8,5,BLAST,0.7368,0.2632,0.054,0.20342857142857143
unite,fam,0,0.8,5,SINTAX,0.6728,0.3272,0.0135,0.23757142857142857
unite,fam,0,0.8,5,Consensus,0.752,0.248,0.096,0.20457142857142857
unite,fam,0,0.8,10,RDP,0.7044,0.2956,0.0545,0.2267142857142857
unite,fam,0,0.8,10,BLAST,0.7168,0.2832,0.039,0.21342857142857144
unite,fam,0,0.8,10,SINTAX,0.6728,0.3272,0.0135,0.23757142857142857
unite,fam,0,0.8,10,Consensus,0.7452,0.2548,0.088,0.20714285714285716
unite,fam,0,0.8,20,RDP,0.7044,0.2956,0.0545,0.2267142857142857
unite,fam,0,0.8,20,BLAST,0.6832,0.3168,0.031,0.23514285714285715
unite,fam,0,0.8,20,SINTAX,0.6728,0.3272,0.0135,0.23757142857142857
unite,fam,0,0.8,20,Consensus,0.744,0.256,0.0795,0.20557142857142857
unite,fam,0,1.0,5,RDP,0.552,0.448,0.015,0.3242857142857143
unite,fam,0,1.0,5,BLAST,0.7066,0.2934,0.0155,0.214
unite,fam,0,1.0,5,SINTAX,0.4912,0.5088,0.0035,0.36442857142857144
unite,fam,0,1.0,5,Consensus,0.723,0.277,0.0285,0.206
unite,fam,0,1.0,20,RDP,0.552,0.448,0.015,0.3242857142857143
unite,fam,0,1.0,20,BLAST,0.6194,0.3806,0.002,0.2724285714285714
unite,fam,0,1.0,20,SINTAX,0.4912,0.5088,0.0035,0.36442857142857144
unite,fam,0,1.0,20,Consensus,0.6866,0.3134,0.0165,0.22857142857142856
unite,fam,1,0.2,5,RDP,0.7484,0.2516,0.2815,0.2601428571428571
unite,fam,1,0.2,5,BLAST,0.7456,0.2544,0.653,0.36828571428571427
unite,fam,1,0.2,5,SINTAX,0.7488,0.2512,0.129,0.21628571428571428
unite,fam,1,0.2,5,Consensus,0.7488,0.2512,0.5635,0.3404285714285714
unite,fam,1,0.2,20,RDP,0.7484,0.2516,0.2825,0.26042857142857145
unite,fam,1,0.2,20,BLAST,0.7252,0.2748,0.491,0.3365714285714286
unite,fam,1,0.2,20,SINTAX,0.7488,0.2512,0.129,0.21628571428571428
unite,fam,1,0.2,20,Consensus,0.743,0.257,0.574,0.3475714285714286
unite,fam,1,0.4,5,RDP,0.7434,0.2566,0.162,0.22957142857142857
unite,fam,1,0.4,5,BLAST,0.7454,0.2546,0.3945,0.2945714285714286
unite,fam,1,0.4,5,SINTAX,0.741,0.259,0.0605,0.2022857142857143
unite,fam,1,0.4,5,Consensus,0.752,0.248,0.431,0.30028571428571427
unite,fam,1,0.4,20,RDP,0.7434,0.2566,0.162,0.22957142857142857
unite,fam,1,0.4,20,BLAST,0.7264,0.2736,0.199,0.2522857142857143
unite,fam,1,0.4,20,SINTAX,0.741,0.259,0.0605,0.2022857142857143
unite,fam,1,0.4,20,Consensus,0.7468,0.2532,0.3075,0.26871428571428574
unite,fam,1,0.6,5,RDP,0.7308,0.2692,0.0915,0.21842857142857142
unite,fam,1,0.6,5,BLAST,0.7462,0.2538,0.1655,0.22857142857142856
unite,fam,1,0.6,5,SINTAX,0.7096,0.2904,0.03,0.216
unite,fam,1,0.6,5,Consensus,0.755,0.245,0.222,0.23842857142857143
unite,fam,1,0.6,20,RDP,0.7308,0.2692,0.0915,0.21842857142857142
unite,fam,1,0.6,20,BLAST,0.7252,0.2748,0.083,0.22
unite,fam,1,0.6,20,SINTAX,0.7096,0.2904,0.03,0.216
unite,fam,1,0.6,20,Consensus,0.7482,0.2518,0.1585,0.22514285714285714
unite,fam,1,0.8,1,RDP,0.693,0.307,0.057,0.23557142857142857
unite,fam,1,0.8,1,BLAST,0.7674,0.2326,0.411,0.2835714285714286
unite,fam,1,0.8,1,SINTAX,0.6614,0.3386,0.018,0.247
unite,fam,1,0.8,1,Consensus,0.7654,0.2346,0.409,0.2844285714285714
unite,fam,1,0.8,3,RDP,0.693,0.307,0.056,0.2352857142857143
unite,fam,1,0.8,3,BLAST,0.7252,0.2748,0.0475,0.20985714285714285
unite,fam,1,0.8,3,SINTAX,0.6614,0.3386,0.018,0.247
unite,fam,1,0.8,3,Consensus,0.7524,0.2476,0.0945,0.20385714285714285
unite,fam,1,0.8,5,RDP,0.693,0.307,0.057,0.23557142857142857
unite,fam,1,0.8,5,BLAST,0.7312,0.2688,0.064,0.2102857142857143
unite,fam,1,0.8,5,SINTAX,0.6614,0.3386,0.018,0.247
unite,fam,1,0.8,5,Consensus,0.75,0.25,0.1025,0.20785714285714285
unite,fam,1,0.8,10,RDP,0.693,0.307,0.057,0.23557142857142857
unite,fam,1,0.8,10,BLAST,0.725,0.275,0.0395,0.2077142857142857
