database,partition_level,region,k_iteration,classifier,sensitivity,MC,OC,EPQ,N_known,N_novel,N
unite,gen,Full,0,qiime2-Naive-Bayes,0.6048690280233291,0.3951309719766709,0.210510272511126,0.3687565863387359,98418,16403,114821
unite,gen,ITS1,0,qiime2-Naive-Bayes,0.5331949785346599,0.4668050214653401,0.16340108649209548,0.42346160218344797,98298,16383,114681
unite,gen,ITS2,0,qiime2-Naive-Bayes,0.5470868038543197,0.4529131961456802,0.17760901518863303,0.41358402743753064,97968,16328,114296
unite,fam,Full,0,qiime2-Naive-Bayes,0.6131739900209239,0.3868260099790761,0.19638258490262353,0.3324136028143754,124260,49704,173964
unite,fam,ITS1,0,qiime2-Naive-Bayes,0.5395184021905453,0.4604815978094548,0.12915760650720787,0.3658176002945271,124170,49668,173838
unite,fam,ITS2,0,qiime2-Naive-Bayes,0.5474920043722926,0.4525079956277074,0.14048014250435206,0.36335718044960585,123505,49402,172907
unite,gen,Full,1,qiime2-Naive-Bayes,0.5778634340725844,0.4221365659274156,0.29875425953857326,0.404510522157581,107406,17901,125307
unite,gen,ITS1,1,qiime2-Naive-Bayes,0.5070551175231598,0.4929448824768402,0.23609014147514398,0.4562513480480265,107298,17883,125181
unite,gen,ITS2,1,qiime2-Naive-Bayes,0.5284251511577844,0.4715748488422156,0.241309597349357,0.4386798129146644,106842,17807,124649
unite,fam,Full,1,qiime2-Naive-Bayes,0.6335723277324722,0.36642767226752776,0.21575173772645176,0.3233774052557918,91355,36542,127897
unite,fam,ITS1,1,qiime2-Naive-Bayes,0.5547411668036154,0.44525883319638454,0.16737880032867708,0.3658645380913253,91275,36510,127785
unite,fam,ITS2,1,qiime2-Naive-Bayes,0.5917689133425035,0.4082310866574966,0.1886382393397524,0.34549027313814107,90875,36350,127225
unite,gen,Full,2,qiime2-Naive-Bayes,0.6135595979326903,0.3864404020673097,0.1990599438408009,0.3596717651778084,98292,16382,114674
unite,gen,ITS1,2,qiime2-Naive-Bayes,0.5485516988511366,0.45144830114886336,0.17361280860425324,0.4117575164996333,98184,16364,114548
unite,gen,ITS2,2,qiime2-Naive-Bayes,0.5603211666871493,0.43967883331285074,0.19466633894555732,0.4046770484032374,97644,16274,113918
unite,fam,Full,2,qiime2-Naive-Bayes,0.6054675869535796,0.39453241304642034,0.25880813822348536,0.3557540488112961,110835,44334,155169
unite,fam,ITS1,2,qiime2-Naive-Bayes,0.537957193172582,0.46204280682741805,0.13948342815858394,0.3698829843506083,110730,44292,155022
unite,fam,ITS2,2,qiime2-Naive-Bayes,0.5619915657733642,0.4380084342266358,0.18233346936924683,0.36495844426738183,110265,44106,154371
unite,gen,Full,3,qiime2-Naive-Bayes,0.5710845896147404,0.42891541038525965,0.19629396984924624,0.395683776022972,95520,15920,111440
unite,gen,ITS1,3,qiime2-Naive-Bayes,0.4821069182389937,0.5178930817610062,0.130062893081761,0.46248876909254266,95400,15900,111300
unite,gen,ITS2,3,qiime2-Naive-Bayes,0.5137562456517615,0.4862437543482386,0.1851242805641642,0.44322668666479936,94866,15811,110677
unite,fam,Full,3,qiime2-Naive-Bayes,0.655649516046867,0.34435048395313295,0.2334946510443199,0.31267738883632923,98150,39260,137410
unite,fam,ITS1,3,qiime2-Naive-Bayes,0.5525169582292039,0.4474830417707961,0.16073341153669607,0.3655545759896247,98035,39214,137249
unite,fam,ITS2,3,qiime2-Naive-Bayes,0.5960208674304419,0.4039791325695581,0.1938932078559738,0.34395458265139117,97760,39104,136864
unite,gen,Full,4,qiime2-Naive-Bayes,0.6080672536331813,0.3919327463668187,0.27018139386867507,0.374539696009941,113124,18854,131978
unite,gen,ITS1,4,qiime2-Naive-Bayes,0.2598304664826219,0.740169533517378,0.0033977489912932683,0.634916421442223,113016,18836,131852
unite,gen,ITS2,4,qiime2-Naive-Bayes,0.5661708517708944,0.43382914822910557,0.19064882443887615,0.3990891019733585,112542,18757,131299
unite,fam,Full,4,qiime2-Naive-Bayes,0.6754193124589446,0.3245806875410554,0.18684037661484562,0.2852263129907098,114175,45670,159845
unite,fam,ITS1,4,qiime2-Naive-Bayes,0.5912578368187996,0.4087421631812004,0.16778464641150423,0.3398971583898586,114045,45618,159663
unite,fam,ITS2,4,qiime2-Naive-Bayes,0.6231528830894022,0.3768471169105978,0.238273673073532,0.33725470438572186,113420,45368,158788
