database,partition_level,region,k_iteration,classifier,sensitivity,MC,OC,EPQ,N_known,N_novel,N
unite,fam,Full,0,RDP,0.7047159182359569,0.29528408176404314,0.052812650893288265,0.22600653008668461,124260,49704,173964
unite,fam,Full,0,SINTAX,0.6724529212940609,0.3275470787059392,0.01537099629808466,0.23835391230369501,124260,49704,173964
unite,fam,Full,0,UTAX,0.5665942378882988,0.4334057621117013,0.0071020441010783844,0.31160469982295186,124260,49704,173964
unite,fam,Full,0,Consensus,0.667801384194431,0.332198615805569,0.01496861419604056,0.24156147248856086,124260,49704,173964
unite,fam,ITS1,0,RDP,0.5706245710363761,0.4293754289636239,0.02866486333723606,0.31488669592751306,123845,49538,173383
unite,fam,ITS1,0,SINTAX,0.6096653074407525,0.39033469255924746,0.02684807622431265,0.2864813736064089,123845,49538,173383
unite,fam,ITS1,0,UTAX,0.46805280794541565,0.5319471920545844,0.011001655294925108,0.38310561012325317,123845,49538,173383
unite,fam,ITS1,0,Consensus,0.568234486656708,0.431765513343292,0.01748152933101861,0.31339866076835676,123845,49538,173383
unite,fam,ITS2,0,RDP,0.5813196160233303,0.4186803839766698,0.024180809267285025,0.3059662197739884,123445,49378,172823
unite,fam,ITS2,0,SINTAX,0.6446271618939609,0.35537283810603915,0.020636720806837053,0.25973394744912426,123445,49378,172823
unite,fam,ITS2,0,UTAX,0.49374215237555186,0.5062578476244481,0.00996395155737373,0.364459591605284,123445,49378,172823
unite,fam,ITS2,0,Consensus,0.5828587630118677,0.4171412369881324,0.015634493094090485,0.30242502444697755,123445,49378,172823
unite,fam,Full,1,RDP,0.6950358491598708,0.3049641508401292,0.06400853812051885,0.23611969006309766,91355,36542,127897
unite,fam,Full,1,SINTAX,0.6592633134475399,0.3407366865524602,0.01658365716162224,0.24812153529793507,91355,36542,127897
unite,fam,Full,1,UTAX,0.5260576870450441,0.4739423129549559,0.007908707788298396,0.3407898543359109,91355,36542,127897
unite,fam,Full,1,Consensus,0.6533523069344863,0.34664769306551363,0.016720486016091073,0.2523827767656786,91355,36542,127897
unite,fam,ITS1,1,RDP,0.5463516483516484,0.45364835164835166,0.03678571428571428,0.3345447409733124,91000,36400,127400
unite,fam,ITS1,1,SINTAX,0.5984175824175825,0.4015824175824176,0.02543956043956044,0.2941130298273155,91000,36400,127400
unite,fam,ITS1,1,UTAX,0.4411758241758242,0.5588241758241759,0.009478021978021977,0.40186813186813186,91000,36400,127400
unite,fam,ITS1,1,Consensus,0.546054945054945,0.45394505494505494,0.019725274725274727,0.3298822605965463,91000,36400,127400
unite,fam,ITS2,1,RDP,0.5825196763718421,0.41748032362815785,0.03849964224778469,0.3092001289480512,90845,36338,127183
unite,fam,ITS2,1,SINTAX,0.6316913423963895,0.36830865760361053,0.029225604050855853,0.27142778515996635,90845,36338,127183
unite,fam,ITS2,1,UTAX,0.4749188177665254,0.5250811822334746,0.015163190048984533,0.37939032732362027,90845,36338,127183
unite,fam,ITS2,1,Consensus,0.5829049479883318,0.41709505201166824,0.02369420441411195,0.3046948098409379,90845,36338,127183
unite,fam,Full,2,RDP,0.6956827716876438,0.3043172283123562,0.056705914196779,0.23357113856504844,110835,44334,155169
unite,fam,Full,2,SINTAX,0.678206342761763,0.321793657238237,0.025127441692606126,0.23703188136805675,110835,44334,155169
unite,fam,Full,2,UTAX,0.585861866738846,0.41413813326115395,0.006608923174087608,0.2977012160934207,110835,44334,155169
unite,fam,Full,2,Consensus,0.6673974827446204,0.3326025172553796,0.012383272431993504,0.24111130444869788,110835,44334,155169
unite,fam,ITS1,2,RDP,0.5577469890428326,0.44225301095716746,0.029249298197953456,0.3242519501688206,110430,44172,154602
unite,fam,ITS1,2,SINTAX,0.6096350629357964,0.39036493706420355,0.02284252467626551,0.2853585335247927,110430,44172,154602
unite,fam,ITS1,2,UTAX,0.4693833197500679,0.5306166802499321,0.009259259259259259,0.3816574171097398,110430,44172,154602
unite,fam,ITS1,2,Consensus,0.5576383229194966,0.4423616770805035,0.012904102146155935,0.31965951281354704,110430,44172,154602
unite,fam,ITS2,2,RDP,0.5743319874790183,0.42566801252098174,0.029896112144444948,0.3125903266991141,110215,44086,154301
unite,fam,ITS2,2,SINTAX,0.6416005080978088,0.35839949190219117,0.02179830331624552,0.26222772373477815,110215,44086,154301
unite,fam,ITS2,2,UTAX,0.49591253459148027,0.5040874654085197,0.010139273238669873,0.36295941050284836,110215,44086,154301
unite,fam,ITS2,2,Consensus,0.5771718913033617,0.4228281086966384,0.013292201605952002,0.30581784952787083,110215,44086,154301
unite,fam,Full,3,RDP,0.671523178807947,0.32847682119205296,0.06360163015792154,0.2527981951823011,98150,39260,137410
unite,fam,Full,3,SINTAX,0.6737442689760571,0.32625573102394295,0.023993886907794193,0.23989520413361473,98150,39260,137410
unite,fam,Full,3,UTAX,0.5633214467651554,0.4366785532348446,0.006265919510952624,0.31370351502801835,98150,39260,137410
unite,fam,Full,3,Consensus,0.6487111563932756,0.3512888436067244,0.01642893530310749,0.2556145840914053,98150,39260,137410
unite,fam,ITS1,3,RDP,0.5272011050289047,0.4727988949710953,0.02294469739601985,0.34426912423535944,97735,39094,136829
unite,fam,ITS1,3,SINTAX,0.59120069575894,0.40879930424106004,0.02123087941883665,0.2980654685775676,97735,39094,136829
unite,fam,ITS1,3,UTAX,0.45808563974011357,0.5419143602598864,0.010282907863099197,0.39001965957509005,97735,39094,136829
unite,fam,ITS1,3,Consensus,0.5286744769018263,0.47132552309817366,0.013454750089527805,0.3405053022385605,97735,39094,136829
unite,fam,ITS2,3,RDP,0.5517830647224354,0.4482169352775646,0.040803274494755695,0.33181303219676206,97725,39090,136815
unite,fam,ITS2,3,SINTAX,0.6193911486313636,0.3806088513686365,0.03967766692248657,0.2831999415268794,97725,39090,136815
unite,fam,ITS2,3,UTAX,0.4809209516500384,0.5190790483499617,0.010028140189306728,0.37363593173263165,97725,39090,136815
unite,fam,ITS2,3,Consensus,0.5548119723714505,0.4451880276285495,0.022563315425940138,0.3244381098563754,97725,39090,136815
unite,fam,Full,4,RDP,0.7192905627326472,0.28070943726735276,0.07392161156119992,0.2216272013513091,114175,45670,159845
unite,fam,Full,4,SINTAX,0.7013181519597109,0.298681848040289,0.02231223998248303,0.2197191028809159,114175,45670,159845
unite,fam,Full,4,UTAX,0.598546091526166,0.40145390847383405,0.009437267352747974,0.28944915386780945,114175,45670,159845
unite,fam,Full,4,Consensus,0.695187212612218,0.3048127873877819,0.02194000437924239,0.2239919922424849,114175,45670,159845
unite,fam,ITS1,4,RDP,0.5865166564120594,0.4134833435879406,0.02685242155225455,0.30301736586345884,113770,45508,159278
unite,fam,ITS1,4,SINTAX,0.641671793970291,0.35832820602970905,0.019666871758811637,0.2615678248094527,113770,45508,159278
unite,fam,ITS1,4,UTAX,0.47139843543992266,0.5286015645600773,0.009778500483431485,0.3803664033953214,113770,45508,159278
