database,partition_level,region,k_iteration,classifier,confidence_threshold,sensitivity,MC,OC,EPQ,N_known,N_novel,N
unite,gen,Full,0,spingo,0.2,0.27944075270783797,0.720559247292162,0.09071511308906907,0.6305815138345773,98418,16403,114821
unite,gen,Full,0,spingo,0.4,0.5761242862078075,0.42387571379219247,0.19837834542461744,0.3916618040253961,98418,16403,114821
unite,gen,Full,0,spingo,0.6,0.5170497266760146,0.48295027332398544,0.12034383954154727,0.43114935421220857,98418,16403,114821
unite,gen,Full,0,spingo,0.8,0.4532910646426467,0.5467089353573533,0.06913369505578248,0.4784839010285575,98418,16403,114821
unite,gen,ITS1,0,spingo,0.2,0.03687765773464363,0.9631223422653563,0.0030519440883843008,0.8259694282400747,98298,16383,114681
unite,gen,ITS1,0,spingo,0.4,0.03631813465177318,0.9636818653482269,0.0014038942806567783,0.8262135837671454,98298,16383,114681
unite,gen,ITS1,0,spingo,0.6,0.03595190136116706,0.9640480986388329,0.0008545443447476042,0.8264490194539637,98298,16383,114681
unite,gen,ITS1,0,spingo,0.8,0.035249954220838674,0.9647500457791613,0.0005493499359091741,0.8270070892301253,98298,16383,114681
unite,gen,ITS2,0,spingo,0.2,0.5222623713865752,0.4777376286134248,0.1817123958843704,0.4354483096521313,97968,16328,114296
unite,gen,ITS2,0,spingo,0.4,0.45490364200555283,0.5450963579944471,0.10013473787359138,0.48153041226289633,97968,16328,114296
unite,gen,ITS2,0,spingo,0.6,0.40576514780336437,0.5942348521966356,0.0589171974522293,0.5177609015188633,97968,16328,114296
unite,gen,ITS2,0,spingo,0.8,0.35457496325330723,0.6454250367466928,0.033500734933855955,0.5580072793448589,97968,16328,114296
unite,fam,Full,0,spingo,0.2,0.6968775148881378,0.30312248511186224,0.2340254305488492,0.2833804695224299,124260,49704,173964
unite,fam,Full,0,spingo,0.4,0.6173748591662643,0.3826251408337357,0.1544543698696282,0.31743349198684784,124260,49704,173964
unite,fam,Full,0,spingo,0.6,0.5225012071463061,0.47749879285369384,0.10007242877836794,0.3696626888321722,124260,49704,173964
unite,fam,Full,0,spingo,0.8,0.4201110574601642,0.5798889425398358,0.0601158860453887,0.4313823549699938,124260,49704,173964
unite,fam,ITS1,0,spingo,0.2,0.08483530643472659,0.9151646935652734,0.01614721752436176,0.6583025575535844,124170,49668,173838
unite,fam,ITS1,0,spingo,0.4,0.0697753080454216,0.9302246919545784,0.007791737134573568,0.6666724191488628,124170,49668,173838
unite,fam,ITS1,0,spingo,0.6,0.05334621889345253,0.9466537811065475,0.0027180478376419427,0.6769578573154316,124170,49668,173838
unite,fam,ITS1,0,spingo,0.8,0.03963920431666264,0.9603607956833373,0.0011677538858017235,0.6863056408840414,124170,49668,173838
unite,fam,ITS2,0,spingo,0.2,0.377903728593984,0.622096271406016,0.10592688555119226,0.4746193040189235,123505,49402,172907
unite,fam,ITS2,0,spingo,0.4,0.327079875308692,0.672920124691308,0.06485567385935792,0.49918742445360803,123505,49402,172907
unite,fam,ITS2,0,spingo,0.6,0.27772154973482854,0.7222784502651715,0.037528844986032955,0.5266357058997033,123505,49402,172907
unite,fam,ITS2,0,spingo,0.8,0.22573175175094126,0.7742682482490587,0.018562001538399254,0.5583521777602989,123505,49402,172907
unite,gen,Full,1,spingo,0.2,0.637273522894438,0.36272647710556205,0.2943969610636277,0.35296511767100003,107406,17901,125307
unite,gen,Full,1,spingo,0.4,0.5829469489600209,0.41705305103997914,0.1686497961007765,0.3815668717629502,107406,17901,125307
unite,gen,Full,1,spingo,0.6,0.5209578608271419,0.47904213917285815,0.09317915200268141,0.42391885529140433,107406,17901,125307
unite,gen,Full,1,spingo,0.8,0.4541087090106698,0.5458912909893302,0.05178481649069885,0.47530465177524,107406,17901,125307
unite,gen,ITS1,1,spingo,0.2,0.04944174169136424,0.9505582583086357,0.0031314656377565285,0.8152115736413673,107298,17883,125181
unite,gen,ITS1,1,spingo,0.4,0.04850975787060337,0.9514902421293966,0.001342056701895655,0.815754787068325,107298,17883,125181
unite,gen,ITS1,1,spingo,0.6,0.04725157971257619,0.9527484202874238,0.00039143320471956607,0.8166974221327518,107298,17883,125181
unite,gen,ITS1,1,spingo,0.8,0.043998956178120746,0.9560010438218792,5.59190292456523e-05,0.8194374545657888,107298,17883,125181
unite,gen,ITS2,1,spingo,0.2,0.5406113700604631,0.4593886299395369,0.20834503285224912,0.4235252589270672,106842,17807,124649
unite,gen,ITS2,1,spingo,0.4,0.4845566350311675,0.5154433649688325,0.09187398214185433,0.45493345313640704,106842,17807,124649
unite,gen,ITS2,1,spingo,0.6,0.42310140207034685,0.5768985979296531,0.042230583478407364,0.5005174530080466,106842,17807,124649
unite,gen,ITS2,1,spingo,0.8,0.35504764044102505,0.6449523595589749,0.022631549390689055,0.5560493866777912,106842,17807,124649
unite,fam,Full,1,spingo,0.2,0.6956488424278912,0.3043511575721088,0.2010289529856056,0.27483052769025074,91355,36542,127897
unite,fam,Full,1,spingo,0.4,0.616189590060752,0.383810409939248,0.12757922390673745,0.310601499644245,91355,36542,127897
unite,fam,Full,1,spingo,0.6,0.5143670297192272,0.4856329702807728,0.07990805100979695,0.36971156477477973,91355,36542,127897
unite,fam,Full,1,spingo,0.8,0.40924963056209296,0.590750369437907,0.050188823819166985,0.43630421354683846,91355,36542,127897
unite,fam,ITS1,1,spingo,0.2,0.21415502602026842,0.7858449739797316,0.04396055875102712,0.5738779982001018,91275,36510,127785
unite,fam,ITS1,1,spingo,0.4,0.17465899753492195,0.825341002465078,0.02330868255272528,0.5961889110615487,91275,36510,127785
unite,fam,ITS1,1,spingo,0.6,0.1407614352232265,0.8592385647767735,0.013503149821966584,0.6175998747896858,91275,36510,127785
unite,fam,ITS1,1,spingo,0.8,0.11054505614900027,0.8894549438509998,0.00892906053136127,0.6378761200453887,91275,36510,127785
unite,fam,ITS2,1,spingo,0.2,0.5536176066024759,0.44638239339752406,0.1366162310866575,0.35787777559441936,90875,36350,127225
unite,fam,ITS2,1,spingo,0.4,0.4554277854195323,0.5445722145804677,0.07174690508940852,0.40947926901159365,90875,36350,127225
unite,fam,ITS2,1,spingo,0.6,0.3691444291609354,0.6308555708390646,0.041127922971114166,0.4623619571625074,90875,36350,127225
unite,fam,ITS2,1,spingo,0.8,0.2842585969738652,0.7157414030261348,0.02464924346629986,0.5182865002947534,90875,36350,127225
unite,gen,Full,2,spingo,0.2,0.6204472388393766,0.3795527611606235,0.3211451593212062,0.3712088180407067,98292,16382,114674
unite,gen,Full,2,spingo,0.4,0.5604932242705408,0.4395067757294592,0.1922842143816384,0.40418926696548474,98292,16382,114674
unite,gen,Full,2,spingo,0.6,0.4958796239775363,0.5041203760224637,0.11378342082773776,0.44835795385178856,98292,16382,114674
unite,gen,Full,2,spingo,0.8,0.4284275424246124,0.5715724575753877,0.06629227200586009,0.499389573922598,98292,16382,114674
unite,gen,ITS1,2,spingo,0.2,0.25520451397376354,0.7447954860262365,0.08891469078464923,0.6510982295631526,98184,16364,114548
unite,gen,ITS1,2,spingo,0.4,0.21343599771856922,0.7865640022814308,0.0472989489122464,0.6809547089429758,98184,16364,114548
unite,gen,ITS1,2,spingo,0.6,0.18280982644830115,0.8171901735516989,0.026582742605719873,0.7042462548451304,98184,16364,114548
