"","partition_level","classifier","unite_Full_EPQ","unite_Full_MC","unite_Full_OC","unite_ITS1_EPQ","unite_ITS1_MC","unite_ITS1_OC","unite_ITS2_EPQ","unite_ITS2_MC","unite_ITS2_OC","silva_Full_EPQ","silva_Full_MC","silva_Full_OC","silva_V3-4_EPQ","silva_V3-4_MC","silva_V3-4_OC","silva_V4_EPQ","silva_V4_MC","silva_V4_OC"
"1","fam","BLAST","20.3±0.7 (G)","26.4±0.8 (J)","5.1±0.6 (H)","40.3±1.4 (G)","54.2±2.1 (J)","5.7±0.8 (H)","37.9±1.9 (G)","50.4±2.6 (J)","6.7±1.5 (H)","26.3±2.9 (B)","26.4±1.8 (A)","26.5±6.5 (F)","27.9±1.2 (B)","31.2±1 (A)","20.8±4 (F)","28.6±2.7 (B)","33.1±3.5 (A)","18.8±4.1 (F)"
"2","fam","RDP","23.4±1.2 (D)","30.3±1.7 (F)","6.2±0.8 (E)","32.4±1.6 (D)","44.2±2.3 (F)","2.9±0.5 (E)","30.7±2.1 (D)","41.6±2.8 (F)","3.2±0.7 (E)","26.5±3.6 (C)","29.7±2.3 (C)","19.3±6.2 (CD)","29.8±3.5 (C)","35.7±3.4 (C)","16.4±4.1 (CD)","29.6±2.4 (C)","38.3±3.1 (C)","9.8±5.5 (CD)"
"3","fam","SINTAX","23.7±1 (B)","32.3±1.5 (D)","2.1±0.4 (D)","28.5±1.4 (B)","39±1.9 (D)","2.3±0.3 (D)","26.3±1.7 (B)","35.7±2.1 (D)","2.7±0.8 (D)","22.8±2.3 (B)","31.9±1.6 (E)","1.8±1.3 (B)","29.9±3 (B)","39.6±3.4 (E)","7.9±3.4 (B)","30.4±1.6 (B)","39.4±1.4 (E)","9.8±3.7 (B)"
"4","fam","UTAX","31.1±2 (I)","43.2±2.8 (L)","0.7±0.1 (A)","38.7±0.9 (I)","53.8±1.3 (L)","1±0.1 (A)","36.4±1.6 (I)","50.4±2.2 (L)","1.2±0.2 (A)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","fam","mothur-wang","30.2±2.4 (J)","39±2.6 (K)","7.9±2 (F)","40.4±1.7 (J)","55.5±2.4 (K)","2.7±0.8 (F)","37.6±1.7 (J)","51.1±2.7 (K)","3.7±1 (F)","32.5±11.6 (D)","39.3±19.5 (E)","15.6±9.4 (C)","29.7±2.9 (D)","34.6±3.6 (E)","17.4±4.9 (C)","30±1.9 (D)","37.6±3.1 (E)","10.8±5 (C)"
"6","fam","mothur-knn=3","28.7±2.6 (F)","36.6±3.6 (G)","9±1.9 (I)","32.3±1.8 (F)","41.7±2.6 (G)","8.6±1.1 (I)","30.6±2.5 (F)","39.3±3.2 (G)","8.9±1.8 (I)","25.6±1.9 (D)","28.8±2.3 (D)","17.7±4.3 (D)","32.6±2.9 (D)","39.2±4.2 (D)","16±2.6 (D)","32.3±2.6 (D)","39.8±3.6 (D)","13.5±2.3 (D)"
"7","fam","qiime2-Naive-Bayes","32.2±2.6 (H)","36.3±2.9 (I)","21.8±2.9 (L)","36.1±1.2 (H)","44.5±2.2 (I)","15.3±1.8 (L)","35.1±1.2 (H)","41.6±3 (I)","18.9±3.5 (L)","66.3±20.4 (F)","66.6±22.4 (F)","65.6±23.8 (H)","31.3±2.1 (F)","33.2±4 (F)","26.6±5.6 (H)","29.6±2 (F)","32.7±2 (F)","21.8±3.4 (H)"
"8","fam","Kraken2","27.1±0.8 (E)","6.1±0.8 (A)","79.6±1.9 (M)","32.3±1.5 (E)","18.6±2.4 (A)","66.4±2.3 (M)","30.4±1.4 (E)","15.2±1.9 (A)","68.5±2.2 (M)","70.3±0.1 (E)","98.3±0.2 (G)","0.1±0.1 (E)","20.5±1.3 (E)","17.2±1.2 (G)","29±2.3 (E)","22.1±2.1 (E)","20.8±2.3 (G)","25.4±2.9 (E)"
"9","fam","SPINGO","28.3±1.5 (K)","31.1±2 (M)","21.3±1.4 (K)","63.7±3.7 (K)","88.2±5.6 (M)","2.4±1.2 (K)","43.7±9.5 (K)","56.5±13.7 (M)","11.5±1.4 (K)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","fam","CB","20.8±0.5 (A)","24.8±0.6 (B)","10.7±0.8 (J)","28.8±1.1 (A)","36.9±1.7 (B)","8.4±0.7 (J)","27.2±1.8 (A)","34.3±1.9 (B)","9.6±2 (J)","29.1±3.9 (C)","26.7±2.2 (A)","35.2±8.5 (G)","29.1±3.4 (C)","32.2±2.7 (A)","21.6±15.3 (G)","28.5±3.3 (C)","32.8±2.5 (A)","18.7±13 (G)"
